iter	Passed	Remaining
0	134	134095
1	135	67675
2	136	45521
3	138	34482
4	139	27802
5	140	23344
6	142	20184
7	143	17848
8	145	16044
9	147	14568
10	148	13366
11	150	12367
12	151	11524
13	153	10783
14	154	10157
15	155	9589
16	157	9100
17	158	8670
18	160	8283
19	161	7929
20	163	7614
21	166	7390
22	167	7121
23	168	6871
24	170	6640
25	172	6453
26	173	6268
27	175	6096
28	177	5928
29	178	5781
30	180	5634
31	181	5494
32	182	5360
33	184	5232
34	185	5116
35	187	5018
36	188	4913
37	190	4810
38	191	4714
39	192	4624
40	194	4539
41	195	4456
42	196	4376
43	198	4308
44	199	4234
45	200	4162
46	202	4100
47	203	4040
48	205	3979
49	206	3920
50	207	3864
51	209	3811
52	210	3759
53	211	3707
54	213	3660
55	214	3615
56	215	3567
57	217	3532
58	218	3491
59	220	3449
60	221	3408
61	222	3369
62	224	3332
63	225	3296
64	226	3260
65	227	3226
66	229	3192
67	230	3164
68	232	3137
69	234	3111
70	235	3084
71	237	3057
72	238	3032
73	240	3007
74	241	2980
75	243	2955
76	244	2929
77	245	2903
78	246	2878
79	248	2856
80	249	2832
81	250	2809
82	251	2779
83	252	2757
84	254	2737
85	255	2716
86	256	2696
87	258	2678
88	259	2659
89	261	2645
90	263	2628
91	264	2611
92	266	2594
93	267	2578
94	268	2561
95	270	2544
96	271	2527
97	272	2510
98	274	2494
99	275	2481
100	277	2467
101	278	2451
102	279	2436
103	281	2421
104	282	2407
105	283	2393
106	285	2380
107	286	2369
108	288	2356
109	289	2342
110	291	2331
111	292	2318
112	293	2304
113	294	2291
114	296	2279
115	297	2267
116	298	2253
117	299	2241
118	301	2229
119	302	2218
120	303	2206
121	305	2197
122	306	2188
123	308	2178
124	309	2167
125	311	2158
126	312	2150
127	314	2139
128	315	2129
129	316	2120
130	318	2111
131	319	2103
132	321	2094
133	322	2086
134	324	2078
135	325	2070
136	327	2064
137	329	2055
138	330	2046
139	331	2038
140	333	2029
141	334	2018
142	335	2010
143	336	2001
144	337	1993
145	339	1984
146	340	1976
147	342	1968
148	343	1960
149	344	1952
150	345	1945
151	347	1938
152	349	1933
153	350	1925
154	351	1918
155	353	1910
156	354	1903
157	355	1896
158	357	1889
159	358	1882
160	359	1872
161	360	1865
162	361	1858
163	363	1855
164	365	1848
165	366	1841
166	367	1834
167	369	1829
168	370	1822
169	372	1816
170	373	1809
171	374	1804
172	375	1797
173	377	1790
174	378	1785
175	380	1779
176	381	1772
